Mag_X,Mag_Y,Mag_Z
2480.0,8192.0,-872.0
2480.0,8192.0,-872.0
2470.0,8275.0,-922.0
2475.0,8285.0,-957.0
2432.0,8295.0,-957.0
2532.0,8210.0,-932.0
2500.0,8260.0,-990.0
2527.0,8210.0,-990.0
2527.0,8192.0,-1025.0
2505.0,8205.0,-1065.0
2557.0,8192.0,-1030.0
2537.0,8255.0,-1045.0
2590.0,8225.0,-1075.0
2562.0,8210.0,-1045.0
2600.0,8275.0,-1110.0
2627.0,8192.0,-1110.0
2620.0,8197.0,-1115.0
2610.0,8260.0,-1095.0
2615.0,8197.0,-1137.0
2700.0,8210.0,-1202.0
2690.0,8235.0,-1227.0
2695.0,8220.0,-1172.0
2700.0,8230.0,-1207.0
2752.0,8162.0,-1257.0
2752.0,8162.0,-1257.0
2767.0,8157.0,-1237.0
2772.0,8147.0,-1227.0
2737.0,8210.0,-1252.0
2820.0,8157.0,-1287.0
2862.0,8192.0,-1262.0
2867.0,8177.0,-1257.0
2882.0,8137.0,-1287.0
2892.0,8230.0,-1287.0
2882.0,8260.0,-1267.0
2882.0,8260.0,-1267.0
2882.0,8240.0,-1287.0
2887.0,8137.0,-1315.0
2935.0,8215.0,-1340.0
2920.0,8192.0,-1340.0
2915.0,8142.0,-1400.0
2955.0,8210.0,-1375.0
2915.0,8137.0,-1395.0
2905.0,8152.0,-1425.0
2940.0,8182.0,-1440.0
2882.0,8192.0,-1467.0
2905.0,8172.0,-1455.0
2920.0,8187.0,-1405.0
2920.0,8152.0,-1440.0
2930.0,8127.0,-1517.0
2892.0,8187.0,-1527.0
2920.0,8142.0,-1517.0
2935.0,8167.0,-1542.0
2892.0,8147.0,-1547.0
2892.0,8102.0,-1562.0
2897.0,8162.0,-1567.0
2915.0,8152.0,-1607.0
2887.0,8172.0,-1635.0
2887.0,8172.0,-1635.0
2835.0,8132.0,-1630.0
2862.0,8097.0,-1660.0
2815.0,8122.0,-1695.0
2825.0,8122.0,-1675.0
2830.0,8177.0,-1675.0
2777.0,8152.0,-1715.0
2800.0,8107.0,-1725.0
2772.0,8127.0,-1730.0
2820.0,8132.0,-1740.0
2772.0,8162.0,-1740.0
2782.0,8152.0,-1745.0
2742.0,8112.0,-1812.0
2742.0,8112.0,-1812.0
2757.0,8142.0,-1765.0
2737.0,8127.0,-1787.0
2715.0,8152.0,-1822.0
2710.0,8172.0,-1812.0
2657.0,8097.0,-1832.0
2647.0,8142.0,-1837.0
2615.0,8102.0,-1867.0
2615.0,8102.0,-1867.0
2610.0,8225.0,-1852.0
2537.0,8142.0,-1897.0
2580.0,8142.0,-1937.0
2580.0,8182.0,-1897.0
2527.0,8132.0,-1937.0
2537.0,8215.0,-1917.0
2537.0,8215.0,-1917.0
2500.0,8137.0,-1907.0
2500.0,8210.0,-1887.0
2517.0,8182.0,-1882.0
2452.0,8127.0,-1937.0
2442.0,8205.0,-1902.0
2442.0,8117.0,-1950.0
2422.0,8230.0,-1942.0
2375.0,8225.0,-1917.0
2422.0,8127.0,-1937.0
2447.0,8147.0,-1932.0
2437.0,8177.0,-1922.0
2470.0,8192.0,-1937.0
2470.0,8192.0,-1937.0
2417.0,8142.0,-1955.0
2417.0,8192.0,-1922.0
2395.0,8137.0,-1965.0
2380.0,8117.0,-1927.0
2370.0,8167.0,-1950.0
2370.0,8142.0,-1965.0
2380.0,8097.0,-1960.0
2402.0,8087.0,-1995.0
2412.0,8172.0,-2010.0
2365.0,8157.0,-1922.0
2322.0,8117.0,-1922.0
2355.0,8137.0,-1942.0
2317.0,8152.0,-1985.0
2337.0,8142.0,-1955.0
2385.0,8122.0,-1990.0
2345.0,8177.0,-1917.0
2307.0,8122.0,-1937.0
2297.0,8210.0,-1907.0
2270.0,8167.0,-1917.0
2270.0,8147.0,-1960.0
2260.0,8192.0,-1985.0
2270.0,8197.0,-1985.0
2207.0,8162.0,-1970.0
2202.0,8162.0,-1937.0
2192.0,8132.0,-1937.0
2192.0,8147.0,-1912.0
2117.0,8182.0,-1912.0
2117.0,8182.0,-1912.0
2165.0,8177.0,-1955.0
2135.0,8172.0,-1937.0
2112.0,8152.0,-1960.0
2112.0,8152.0,-1960.0
2087.0,8142.0,-1937.0
2050.0,8142.0,-1985.0
2097.0,8162.0,-1892.0
2060.0,8107.0,-1990.0
1987.0,8137.0,-1902.0
2020.0,8167.0,-1882.0
2030.0,8157.0,-1937.0
1997.0,8167.0,-1950.0
1967.0,8152.0,-1922.0
1997.0,8122.0,-1965.0
2020.0,8162.0,-1950.0
1940.0,8157.0,-1970.0
1992.0,8220.0,-1955.0
1982.0,8215.0,-1922.0
1992.0,8117.0,-1922.0
1967.0,8137.0,-1912.0
1950.0,8127.0,-1927.0
1977.0,8197.0,-1917.0
1967.0,8127.0,-1917.0
1987.0,8117.0,-1942.0
1992.0,8162.0,-1970.0
1940.0,8137.0,-1960.0
1957.0,8132.0,-1950.0
1957.0,8132.0,-1950.0
1945.0,8172.0,-1932.0
1967.0,8152.0,-1902.0
1967.0,8210.0,-1877.0
1915.0,8137.0,-1902.0
1925.0,8137.0,-1902.0
1910.0,8187.0,-1892.0
1935.0,8137.0,-1960.0
1910.0,8182.0,-1917.0
1925.0,8167.0,-1932.0
1900.0,8137.0,-1927.0
1940.0,8177.0,-1912.0
1900.0,8172.0,-1907.0
1935.0,8210.0,-1927.0
1935.0,8210.0,-1927.0
1972.0,8157.0,-1892.0
1977.0,8187.0,-1872.0
1977.0,8127.0,-1897.0
2002.0,8122.0,-1912.0
1977.0,8182.0,-1827.0
1992.0,8172.0,-1892.0
1982.0,8182.0,-1857.0
2050.0,8192.0,-1837.0
2025.0,8137.0,-1837.0
2025.0,8137.0,-1837.0
2030.0,8152.0,-1857.0
2050.0,8172.0,-1842.0
2072.0,8177.0,-1882.0
2117.0,8162.0,-1902.0
2140.0,8167.0,-1892.0
2135.0,8210.0,-1877.0
2097.0,8167.0,-1907.0
2135.0,8210.0,-1847.0
2140.0,8182.0,-1877.0
2140.0,8182.0,-1877.0
2170.0,8142.0,-1937.0
2177.0,8205.0,-1950.0
2207.0,8142.0,-1922.0
2192.0,8167.0,-1955.0
2207.0,8152.0,-1942.0
2255.0,8147.0,-1980.0
2255.0,8147.0,-1980.0
2280.0,8205.0,-1965.0
2332.0,8167.0,-2010.0
2317.0,8220.0,-1980.0
2332.0,8157.0,-1937.0
2337.0,8172.0,-1985.0
2317.0,8167.0,-1980.0
2365.0,8172.0,-1955.0
2402.0,8182.0,-2015.0
2402.0,8182.0,-2015.0
2432.0,8152.0,-1975.0
2452.0,8240.0,-1927.0
2452.0,8162.0,-1927.0
2522.0,8167.0,-1970.0
2495.0,8210.0,-1950.0
2512.0,8192.0,-1980.0
2562.0,8177.0,-1932.0
2570.0,8167.0,-2010.0
2600.0,8220.0,-1990.0
2600.0,8220.0,-1990.0
2632.0,8172.0,-1960.0
2632.0,8172.0,-1960.0
2652.0,8220.0,-1942.0
2662.0,8162.0,-1872.0
2637.0,8182.0,-1897.0
2672.0,8197.0,-1857.0
2637.0,8205.0,-1872.0
2637.0,8205.0,-1872.0
2715.0,8245.0,-1847.0
2737.0,8172.0,-1837.0
2795.0,8250.0,-1857.0
2747.0,8220.0,-1832.0
2762.0,8162.0,-1787.0
2820.0,8250.0,-1740.0
2840.0,8142.0,-1760.0
2815.0,8177.0,-1720.0
2835.0,8260.0,-1770.0
2877.0,8177.0,-1700.0
2877.0,8215.0,-1720.0
2867.0,8182.0,-1715.0
2905.0,8177.0,-1715.0
2940.0,8210.0,-1690.0
2897.0,8167.0,-1690.0
2897.0,8167.0,-1690.0
2915.0,8215.0,-1617.0
2982.0,8137.0,-1680.0
2972.0,8172.0,-1635.0
2982.0,8182.0,-1650.0
2992.0,8197.0,-1617.0
3025.0,8157.0,-1562.0
3015.0,8187.0,-1567.0
3035.0,8142.0,-1572.0
3007.0,8205.0,-1557.0
2987.0,8157.0,-1497.0
3020.0,8177.0,-1450.0
3055.0,8177.0,-1477.0
3072.0,8122.0,-1450.0
3072.0,8122.0,-1450.0
3107.0,8177.0,-1462.0
3065.0,8182.0,-1440.0
3020.0,8137.0,-1405.0
3082.0,8172.0,-1390.0
3082.0,8172.0,-1390.0
3092.0,8157.0,-1335.0
3122.0,8197.0,-1345.0
3117.0,8152.0,-1305.0
3130.0,8162.0,-1227.0
3107.0,8177.0,-1212.0
3140.0,8210.0,-1232.0
3160.0,8187.0,-1237.0
3082.0,8162.0,-1187.0
3097.0,8107.0,-1212.0
3122.0,8142.0,-1130.0
3165.0,8205.0,-1120.0
3207.0,8172.0,-1142.0
3197.0,8192.0,-1105.0
3197.0,8192.0,-1105.0
3117.0,8215.0,-1055.0
3150.0,8177.0,-1050.0
3140.0,8225.0,-1055.0
3117.0,8152.0,-1025.0
3107.0,8132.0,-1050.0
3130.0,8137.0,-1015.0
3112.0,8117.0,-995.0
3145.0,8152.0,-985.0
3140.0,8097.0,-980.0
3150.0,8102.0,-975.0
3107.0,8167.0,-962.0
3155.0,8122.0,-947.0
3107.0,8147.0,-962.0
3097.0,8127.0,-902.0
3097.0,8172.0,-877.0
3077.0,8142.0,-852.0
3077.0,8142.0,-852.0
3130.0,8127.0,-857.0
3130.0,8127.0,-857.0
3102.0,8087.0,-847.0
3030.0,8187.0,-760.0
3045.0,8142.0,-770.0
3060.0,8107.0,-690.0
3060.0,8107.0,-690.0
3097.0,8107.0,-705.0
3130.0,8107.0,-695.0
3097.0,8137.0,-685.0
3040.0,8112.0,-665.0
3055.0,8152.0,-637.0
3065.0,8197.0,-655.0
3065.0,8087.0,-602.0
3045.0,8062.0,-582.0
3040.0,8147.0,-532.0
3030.0,8097.0,-532.0
3082.0,8112.0,-537.0
3060.0,8062.0,-507.0
3020.0,8127.0,-517.0
3030.0,8127.0,-475.0
3060.0,8087.0,-465.0
3060.0,8092.0,-445.0
3045.0,8107.0,-450.0
3025.0,8072.0,-425.0
3015.0,8067.0,-390.0
2997.0,8087.0,-400.0
2955.0,8052.0,-355.0
2897.0,8077.0,-345.0
2897.0,8062.0,-365.0
2905.0,8062.0,-287.0
2925.0,8077.0,-287.0
2897.0,8037.0,-212.0
2897.0,8067.0,-207.0
2892.0,8112.0,-212.0
2840.0,8047.0,-167.0
2852.0,8047.0,-155.0
2852.0,8092.0,-145.0
2852.0,8057.0,-150.0
2805.0,8042.0,-85.0
2857.0,8012.0,-85.0
2742.0,8027.0,-25.0
2752.0,8072.0,20.0
2700.0,8087.0,20.0
2700.0,8087.0,20.0
2605.0,8012.0,35.0
2632.0,8067.0,90.0
2580.0,8012.0,85.0
2537.0,8067.0,135.0
2517.0,8082.0,90.0
2442.0,8037.0,130.0
2427.0,8042.0,167.0
2447.0,8012.0,207.0
2412.0,8012.0,237.0
2317.0,8037.0,212.0
2275.0,7987.0,222.0
2227.0,8077.0,182.0
2192.0,8062.0,217.0
2150.0,8062.0,247.0
2097.0,8082.0,252.0
2025.0,8027.0,287.0
2025.0,8027.0,287.0
1950.0,8077.0,242.0
1920.0,7975.0,267.0
1867.0,7987.0,247.0
1872.0,8047.0,262.0
1795.0,7987.0,277.0
1767.0,8042.0,277.0
1767.0,8042.0,277.0
1800.0,7975.0,267.0
1795.0,8072.0,227.0
1805.0,8077.0,257.0
1767.0,7950.0,257.0
1790.0,8037.0,242.0
1762.0,8032.0,187.0
1762.0,8032.0,187.0
1742.0,8092.0,232.0
1647.0,7987.0,267.0
1705.0,8017.0,282.0
1680.0,8077.0,232.0
1615.0,8012.0,212.0
1595.0,8047.0,182.0
1595.0,8047.0,182.0
1590.0,8042.0,197.0
1547.0,8082.0,202.0
1590.0,8107.0,177.0
1565.0,8037.0,187.0
1500.0,8062.0,197.0
1542.0,8037.0,140.0
1485.0,8007.0,145.0
1552.0,8052.0,150.0
1517.0,8052.0,177.0
1512.0,8027.0,162.0
1475.0,8047.0,110.0
1455.0,8047.0,130.0
1460.0,8072.0,90.0
1437.0,8097.0,40.0
1407.0,8032.0,60.0
1412.0,8097.0,40.0
1370.0,8047.0,-10.0
1422.0,8057.0,-5.0
1397.0,8127.0,-50.0
1375.0,8112.0,-35.0
1355.0,8042.0,-30.0
1345.0,8082.0,5.0
1350.0,8077.0,-100.0
1307.0,8087.0,-75.0
1390.0,8057.0,-60.0
1312.0,8002.0,-65.0
1265.0,8077.0,-115.0
1292.0,8072.0,-130.0
1187.0,8057.0,-95.0
1177.0,8117.0,-172.0
1177.0,8117.0,-172.0
1125.0,8102.0,-172.0
1145.0,8167.0,-227.0
1160.0,8107.0,-277.0
1072.0,8062.0,-257.0
1107.0,8112.0,-302.0
1050.0,8067.0,-312.0
1050.0,8067.0,-312.0
972.0,8092.0,-385.0
1030.0,8112.0,-430.0
992.0,8067.0,-502.0
1045.0,8117.0,-522.0
997.0,8052.0,-557.0
1040.0,8112.0,-592.0
1035.0,8092.0,-572.0
1015.0,8092.0,-637.0
1015.0,8092.0,-637.0
1050.0,8147.0,-690.0
982.0,8092.0,-660.0
997.0,8127.0,-720.0
