timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1723940841.8449037,120.08399963378906,-97.0,96.0,-2740.0,5.0,8.0
1723940841.8552155,120.09400177001953,-97.0,93.0,-2743.0,2.0,-6.0
1723940841.8589394,120.0989990234375,-99.0,103.0,-2737.0,2.0,-8.0
1723940841.8689337,120.10900115966797,-105.0,100.0,-2746.0,1.0,-1.0
1723940841.8746564,120.11399841308594,-103.0,100.0,-2738.0,4.0,-3.0
1723940841.8845801,120.1240005493164,-95.0,94.0,-2755.0,0.0,-5.0
1723940841.8895752,120.12899780273438,-105.0,98.0,-2746.0,4.0,3.0
1723940841.8992746,120.13899993896484,-90.0,104.0,-2758.0,1.0,-13.0
1723940841.9044945,120.14399719238281,-95.0,95.0,-2739.0,3.0,3.0
1723940841.9144866,120.15399932861328,-95.0,93.0,-2740.0,1.0,-6.0
1723940841.919466,120.15899658203125,-95.0,102.0,-2744.0,1.0,1.0
1723940841.9295313,120.16899871826172,-103.0,92.0,-2751.0,4.0,-8.0
1723940841.934491,120.17400360107422,-98.0,93.0,-2734.0,5.0,-2.0
1723940841.944532,120.18399810791016,-101.0,82.0,-2749.0,7.0,-7.0
1723940841.9492068,120.18900299072266,-100.0,90.0,-2751.0,10.0,-11.0
1723940841.9597435,120.1989974975586,-91.0,100.0,-2747.0,10.0,2.0
1723940841.9676971,120.2040023803711,-105.0,99.0,-2738.0,2.0,-1.0
1723940841.9745312,120.21399688720703,-100.0,98.0,-2744.0,-1.0,-8.0
1723940841.9799519,120.21900177001953,-98.0,95.0,-2731.0,7.0,-9.0
1723940841.9895573,120.22899627685547,-94.0,99.0,-2758.0,2.0,-10.0
1723940841.9944167,120.23400115966797,-101.0,95.0,-2745.0,-1.0,-9.0
1723940842.0044475,120.24400329589844,-97.0,92.0,-2752.0,3.0,-5.0
1723940842.0108974,120.2490005493164,-100.0,91.0,-2736.0,6.0,9.0
1723940842.0197625,120.25900268554688,-100.0,96.0,-2752.0,5.0,-6.0
1723940842.0245116,120.26399993896484,-101.0,100.0,-2740.0,2.0,-6.0
1723940842.0348597,120.27400207519531,-104.0,105.0,-2744.0,4.0,-9.0
1723940842.0398228,120.27899932861328,-105.0,98.0,-2737.0,6.0,-15.0
1723940842.0493395,120.28900146484375,-106.0,98.0,-2737.0,3.0,-2.0
1723940842.054611,120.29399871826172,-99.0,99.0,-2737.0,10.0,16.0
1723940842.06374,120.30400085449219,-96.0,99.0,-2743.0,-3.0,-10.0
1723940842.0687547,120.30899810791016,-104.0,97.0,-2746.0,-1.0,-8.0
1723940842.079449,120.31900024414062,-100.0,102.0,-2754.0,-1.0,-11.0
1723940842.0845208,120.3239974975586,-100.0,97.0,-2738.0,10.0,-8.0
1723940842.0945873,120.33399963378906,-96.0,100.0,-2747.0,1.0,-4.0
1723940842.10168,120.33899688720703,-91.0,91.0,-2740.0,15.0,0.0
1723940842.1099937,120.3489990234375,-101.0,95.0,-2753.0,1.0,-8.0
1723940842.113857,120.35399627685547,-91.0,101.0,-2739.0,1.0,-1.0
1723940842.124544,120.36399841308594,-98.0,102.0,-2757.0,-1.0,-3.0
1723940842.1294448,120.36900329589844,-108.0,94.0,-2735.0,10.0,3.0
1723940842.139668,120.37899780273438,-94.0,93.0,-2751.0,2.0,-6.0
1723940842.1447446,120.38400268554688,-104.0,99.0,-2751.0,3.0,-7.0
1723940842.1544945,120.39399719238281,-100.0,103.0,-2744.0,2.0,7.0
1723940842.160336,120.39900207519531,-100.0,96.0,-2750.0,8.0,-7.0
1723940842.1698182,120.40899658203125,-93.0,100.0,-2741.0,4.0,-8.0
1723940842.1748152,120.41400146484375,-106.0,100.0,-2736.0,4.0,-7.0
1723940842.1843717,120.42400360107422,-105.0,106.0,-2746.0,1.0,-10.0
1723940842.189538,120.42900085449219,-113.0,97.0,-2736.0,0.0,-3.0
1723940842.1999903,120.43900299072266,-89.0,90.0,-2755.0,2.0,5.0
1723940842.2043595,120.44400024414062,-101.0,101.0,-2750.0,3.0,-6.0
1723940842.214214,120.4540023803711,-100.0,99.0,-2750.0,1.0,-2.0
1723940842.2196043,120.45899963378906,-93.0,93.0,-2744.0,6.0,-5.0
1723940842.2296734,120.46900177001953,-97.0,88.0,-2746.0,6.0,-1.0
1723940842.2337577,120.4739990234375,-96.0,95.0,-2744.0,0.0,-4.0
1723940842.2439845,120.48400115966797,-96.0,97.0,-2749.0,1.0,-9.0
1723940842.249946,120.48899841308594,-101.0,94.0,-2737.0,6.0,3.0
1723940842.261438,120.4990005493164,-96.0,103.0,-2754.0,5.0,-5.0
1723940842.2641332,120.50399780273438,-106.0,96.0,-2752.0,5.0,-13.0
1723940842.2743063,120.51399993896484,-96.0,92.0,-2752.0,-3.0,-5.0
1723940842.2792938,120.51899719238281,-99.0,98.0,-2748.0,3.0,-2.0
1723940842.2890952,120.52899932861328,-91.0,98.0,-2745.0,0.0,-8.0
1723940842.2940853,120.53399658203125,-94.0,96.0,-2740.0,3.0,-8.0
1723940842.3062582,120.54399871826172,-104.0,87.0,-2751.0,3.0,-15.0
1723940842.3095114,120.54900360107422,-99.0,103.0,-2752.0,3.0,-10.0
1723940842.3194735,120.55899810791016,-102.0,97.0,-2748.0,4.0,-7.0
1723940842.3247445,120.56400299072266,-105.0,99.0,-2741.0,0.0,-2.0
1723940842.3348193,120.5739974975586,-97.0,100.0,-2752.0,11.0,-9.0
1723940842.3394706,120.5790023803711,-97.0,94.0,-2737.0,2.0,6.0
1723940842.3491788,120.58899688720703,-98.0,90.0,-2757.0,-1.0,-13.0
1723940842.354516,120.59400177001953,-94.0,104.0,-2737.0,4.0,-3.0
1723940842.3645105,120.60399627685547,-100.0,98.0,-2741.0,8.0,-11.0
1723940842.369628,120.60900115966797,-100.0,95.0,-2742.0,3.0,-10.0
1723940842.3796065,120.61900329589844,-100.0,100.0,-2744.0,3.0,-7.0
1723940842.3839488,120.6240005493164,-97.0,101.0,-2736.0,4.0,2.0
1723940842.3945625,120.63400268554688,-96.0,95.0,-2750.0,3.0,-12.0
1723940842.3997781,120.63899993896484,-103.0,96.0,-2744.0,7.0,2.0
1723940842.4095457,120.64900207519531,-103.0,90.0,-2758.0,3.0,-11.0
1723940842.4139802,120.65399932861328,-102.0,99.0,-2743.0,9.0,-6.0
1723940842.4241414,120.66400146484375,-100.0,99.0,-2752.0,-1.0,-13.0
1723940842.4300125,120.66899871826172,-98.0,97.0,-2755.0,8.0,-12.0
1723940842.4397087,120.67900085449219,-101.0,91.0,-2754.0,7.0,-11.0
1723940842.4445705,120.68399810791016,-102.0,98.0,-2748.0,3.0,-3.0
1723940842.4546394,120.69400024414062,-98.0,103.0,-2752.0,6.0,-9.0
1723940842.4590976,120.6989974975586,-99.0,103.0,-2744.0,8.0,-5.0
1723940842.4700432,120.70899963378906,-88.0,98.0,-2748.0,10.0,-6.0
1723940842.4746094,120.71399688720703,-101.0,95.0,-2737.0,6.0,-5.0
1723940842.484351,120.7239990234375,-95.0,94.0,-2748.0,7.0,-9.0
1723940842.4895964,120.72899627685547,-96.0,95.0,-2744.0,6.0,-5.0
1723940842.5005672,120.73899841308594,-101.0,90.0,-2760.0,5.0,-8.0
1723940842.5046365,120.74400329589844,-96.0,102.0,-2733.0,2.0,0.0
1723940842.514059,120.75399780273438,-97.0,88.0,-2762.0,8.0,-1.0
1723940842.5194952,120.75900268554688,-95.0,95.0,-2738.0,5.0,-4.0
1723940842.5294902,120.76899719238281,-91.0,91.0,-2761.0,-2.0,0.0
1723940842.5342684,120.77400207519531,-97.0,100.0,-2738.0,5.0,-4.0
1723940842.5449936,120.78399658203125,-100.0,93.0,-2743.0,3.0,1.0
1723940842.5493238,120.78900146484375,-89.0,85.0,-2741.0,-5.0,6.0
1723940842.5594747,120.79900360107422,-97.0,102.0,-2756.0,2.0,-6.0
1723940842.5643318,120.80400085449219,-97.0,94.0,-2734.0,5.0,-1.0
1723940842.5746913,120.81400299072266,-98.0,95.0,-2757.0,8.0,-5.0
1723940842.5794635,120.81900024414062,-102.0,96.0,-2735.0,5.0,-3.0
1723940842.5897338,120.8290023803711,-94.0,93.0,-2762.0,7.0,-15.0
1723940842.594574,120.83399963378906,-98.0,89.0,-2736.0,9.0,-1.0
1723940842.6048756,120.84400177001953,-96.0,95.0,-2754.0,11.0,-6.0
1723940842.609024,120.8489990234375,-94.0,89.0,-2747.0,3.0,-4.0
1723940842.619046,120.85900115966797,-104.0,103.0,-2746.0,4.0,-5.0
1723940842.6244128,120.86399841308594,-98.0,104.0,-2737.0,7.0,-1.0
1723940842.6344616,120.8740005493164,-101.0,93.0,-2749.0,1.0,-10.0
1723940842.6394706,120.87899780273438,-98.0,87.0,-2742.0,10.0,-11.0
1723940842.6494718,120.88899993896484,-98.0,95.0,-2750.0,-2.0,1.0
1723940842.6545768,120.89399719238281,-89.0,84.0,-2733.0,5.0,0.0
1723940842.6641676,120.90399932861328,-89.0,91.0,-2749.0,3.0,-7.0
1723940842.670307,120.90899658203125,-97.0,94.0,-2747.0,1.0,-7.0
1723940842.6798909,120.91899871826172,-95.0,99.0,-2769.0,10.0,-5.0
1723940842.6845665,120.92400360107422,-100.0,103.0,-2733.0,3.0,-3.0
1723940842.6945875,120.93399810791016,-98.0,91.0,-2760.0,3.0,-6.0
1723940842.699563,120.93900299072266,-105.0,83.0,-2764.0,8.0,5.0
1723940842.7095556,120.9489974975586,-104.0,100.0,-2750.0,3.0,-6.0
1723940842.716261,120.9540023803711,-99.0,105.0,-2742.0,5.0,-7.0
1723940842.7242913,120.96399688720703,-107.0,97.0,-2743.0,2.0,-7.0
1723940842.729285,120.96900177001953,-102.0,96.0,-2740.0,2.0,-1.0
1723940842.7395928,120.97899627685547,-100.0,94.0,-2747.0,1.0,-4.0
