,Mag_X,Mag_Y,Mag_Z
Mag_X,413.4914598409354,36.76762060791455,-53.387274986793614
Mag_Y,36.76762060791455,715.0247253078176,-111.74182720055674
Mag_Z,-53.387274986793614,-111.74182720055674,730.9845588812419
