Mag_X,Mag_Y,Mag_Z
-392.0,6272.0,395.0
-385.0,6362.0,317.0
-345.0,6382.0,350.0
-365.0,6337.0,317.0
-397.0,6412.0,292.0
-380.0,6387.0,335.0
-397.0,6297.0,307.0
-365.0,6342.0,335.0
-392.0,6342.0,302.0
-397.0,6397.0,267.0
-412.0,6372.0,297.0
-392.0,6332.0,307.0
-437.0,6417.0,282.0
-397.0,6362.0,292.0
-392.0,6337.0,312.0
-350.0,6382.0,277.0
-365.0,6322.0,307.0
-292.0,6382.0,317.0
-340.0,6342.0,312.0
-355.0,6322.0,355.0
-322.0,6412.0,365.0
-322.0,6412.0,365.0
-335.0,6357.0,335.0
-392.0,6422.0,350.0
-392.0,6422.0,350.0
-375.0,6367.0,350.0
-370.0,6442.0,125.0
-360.0,6282.0,350.0
-355.0,6327.0,380.0
-397.0,6367.0,360.0
-417.0,6352.0,370.0
-455.0,6377.0,330.0
-465.0,6372.0,325.0
-475.0,6342.0,335.0
-502.0,6367.0,262.0
-512.0,6372.0,267.0
-427.0,6332.0,262.0
-417.0,6332.0,297.0
-527.0,6347.0,292.0
-537.0,6332.0,302.0
-517.0,6362.0,247.0
-512.0,6337.0,247.0
-442.0,6372.0,222.0
-455.0,6312.0,330.0
-432.0,6250.0,370.0
-465.0,6417.0,282.0
-470.0,6337.0,292.0
-412.0,6342.0,385.0
-327.0,6327.0,302.0
-292.0,6302.0,330.0
-217.0,6352.0,375.0
-217.0,6352.0,375.0
-135.0,6317.0,330.0
-57.0,6367.0,355.0
-35.0,6322.0,415.0
-20.0,6402.0,385.0
-45.0,6347.0,380.0
-92.0,6267.0,365.0
-92.0,6332.0,182.0
-250.0,6235.0,390.0
-297.0,6317.0,340.0
-317.0,6352.0,307.0
-407.0,6235.0,317.0
-450.0,6307.0,282.0
-507.0,6255.0,247.0
-617.0,6220.0,340.0
-622.0,6297.0,292.0
-605.0,6312.0,247.0
-657.0,6007.0,492.0
-705.0,5957.0,522.0
-715.0,5892.0,582.0
-680.0,6135.0,582.0
-695.0,6120.0,582.0
-657.0,5997.0,690.0
-657.0,5997.0,690.0
-617.0,6012.0,760.0
-595.0,6017.0,837.0
-475.0,6022.0,927.0
-485.0,6080.0,947.0
-322.0,6060.0,1060.0
-327.0,6032.0,1115.0
-230.0,6302.0,1015.0
-235.0,5962.0,1287.0
-155.0,5917.0,1360.0
-155.0,5917.0,1360.0
-67.0,5877.0,1410.0
-57.0,5852.0,1445.0
-45.0,5872.0,1507.0
-57.0,5867.0,1552.0
-50.0,5805.0,1542.0
-35.0,5780.0,1630.0
-30.0,5780.0,1625.0
-67.0,5770.0,1670.0
-25.0,5780.0,1690.0
-25.0,5780.0,1690.0
62.0,6090.0,1775.0
-50.0,5740.0,1827.0
-92.0,5710.0,1862.0
-92.0,5710.0,1862.0
-140.0,5660.0,1965.0
-140.0,5660.0,1965.0
-202.0,5537.0,2040.0
-202.0,5537.0,2040.0
-217.0,5452.0,2122.0
-217.0,5452.0,2122.0
-270.0,5340.0,2305.0
-260.0,5295.0,2365.0
-275.0,5315.0,2405.0
-335.0,5235.0,2527.0
-287.0,5122.0,2710.0
-217.0,5092.0,2745.0
-230.0,4910.0,2882.0
-155.0,4885.0,2965.0
-145.0,4775.0,3092.0
-145.0,4775.0,3092.0
-140.0,4582.0,3270.0
-30.0,4485.0,3255.0
-115.0,4400.0,3300.0
-102.0,4390.0,3412.0
-140.0,4292.0,3452.0
-140.0,4325.0,3532.0
-197.0,4262.0,3482.0
-197.0,4262.0,3482.0
-255.0,4247.0,3605.0
-322.0,4142.0,3620.0
-340.0,4060.0,3660.0
-340.0,4060.0,3660.0
-360.0,4107.0,3690.0
-327.0,3955.0,3777.0
-375.0,3965.0,3832.0
-365.0,3797.0,3787.0
-322.0,3807.0,3955.0
-355.0,3807.0,3960.0
-335.0,3717.0,4005.0
-335.0,3717.0,4005.0
-255.0,3575.0,4087.0
-250.0,3575.0,4147.0
-240.0,3605.0,4197.0
-212.0,3460.0,4162.0
-207.0,3475.0,4107.0
-202.0,3465.0,4207.0
-202.0,3465.0,4207.0
