Mag_X,Mag_Y,Mag_Z
386.0,-781.0,-456.0
386.0,-781.0,-456.0
386.0,-781.0,-456.0
386.0,-781.0,-456.0
386.0,-781.0,-456.0
386.0,-781.0,-456.0
386.0,-781.0,-456.0
386.0,-781.0,-456.0
386.0,-781.0,-456.0
386.0,-781.0,-456.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
400.0,-750.0,-468.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
386.0,-788.0,-436.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
363.0,-791.0,-416.0
