Timestamp (ns),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1724512017420352495,-193.0,-96.0,2698.0,7.0,-16.0,-2.0
1724512017425357378,-188.0,-96.0,2702.0,8.0,-13.0,3.0
1724512017430362261,-195.0,-79.0,2712.0,1.0,-8.0,-1.0
1724512017435367144,-187.0,-84.0,2707.0,4.0,-9.0,-4.0
1724512017440372026,-188.0,-94.0,2710.0,3.0,-10.0,-4.0
1724512017445376909,-196.0,-92.0,2702.0,3.0,-8.0,0.0
1724512017450381792,-193.0,-89.0,2704.0,8.0,-6.0,-1.0
1724512017455356157,-188.0,-83.0,2700.0,0.0,-10.0,0.0
1724512017460361040,-186.0,-81.0,2696.0,5.0,-5.0,1.0
1724512017465365923,-185.0,-82.0,2699.0,7.0,-2.0,3.0
1724512017470370806,-193.0,-90.0,2703.0,2.0,-11.0,-2.0
1724512017475375689,-201.0,-89.0,2704.0,-1.0,-8.0,0.0
1724512017480380571,-191.0,-90.0,2706.0,3.0,-14.0,0.0
1724512017485354937,-197.0,-97.0,2703.0,7.0,-13.0,1.0
1724512017490359819,-182.0,-99.0,2715.0,-1.0,-11.0,-6.0
1724512017495364702,-182.0,-85.0,2712.0,5.0,-5.0,1.0
1724512017500369585,-189.0,-91.0,2709.0,2.0,-3.0,-3.0
1724512017505374468,-191.0,-91.0,2705.0,2.0,-10.0,1.0
1724512017510379351,-196.0,-88.0,2705.0,0.0,-6.0,-1.0
1724512017515353716,-186.0,-86.0,2700.0,7.0,-3.0,0.0
1724512017520358599,-187.0,-92.0,2699.0,2.0,-10.0,-3.0
1724512017525363482,-199.0,-89.0,2700.0,1.0,-12.0,-4.0
1724512017530368364,-195.0,-88.0,2702.0,3.0,-6.0,-1.0
1724512017535373247,-195.0,-95.0,2714.0,9.0,-5.0,7.0
1724512017540378130,-186.0,-96.0,2700.0,0.0,-14.0,-9.0
1724512017545352495,-194.0,-95.0,2710.0,9.0,-2.0,2.0
1724512017550357378,-191.0,-82.0,2715.0,3.0,-10.0,-9.0
1724512017555362261,-194.0,-95.0,2708.0,0.0,-23.0,4.0
1724512017560367144,-187.0,-90.0,2708.0,2.0,-5.0,-5.0
1724512017565372026,-182.0,-97.0,2713.0,9.0,-14.0,1.0
1724512017570376909,-190.0,-89.0,2697.0,8.0,-6.0,-1.0
1724512017575381792,-188.0,-86.0,2714.0,1.0,-12.0,-3.0
1724512017580356157,-191.0,-88.0,2703.0,6.0,2.0,-1.0
1724512017585361040,-183.0,-94.0,2705.0,2.0,-15.0,-3.0
1724512017590365923,-181.0,-92.0,2706.0,3.0,-16.0,-7.0
1724512017595370806,-199.0,-93.0,2701.0,9.0,-4.0,-1.0
1724512017600375689,-203.0,-90.0,2709.0,4.0,-6.0,1.0
1724512017605380571,-196.0,-88.0,2714.0,4.0,-12.0,-2.0
1724512017610354937,-193.0,-83.0,2720.0,4.0,-9.0,2.0
1724512017615359819,-192.0,-95.0,2705.0,5.0,-12.0,-5.0
1724512017620364702,-195.0,-86.0,2700.0,0.0,-13.0,-4.0
1724512017625369585,-186.0,-85.0,2714.0,-4.0,-8.0,-1.0
1724512017630374468,-196.0,-94.0,2712.0,-3.0,-6.0,2.0
1724512017635379351,-189.0,-90.0,2709.0,6.0,-5.0,3.0
1724512017640353716,-197.0,-94.0,2699.0,2.0,-8.0,-3.0
1724512017645358599,-194.0,-84.0,2698.0,-4.0,-5.0,-3.0
1724512017650363482,-193.0,-95.0,2705.0,3.0,-7.0,-1.0
1724512017655368364,-183.0,-85.0,2706.0,-1.0,-12.0,-2.0
1724512017660373247,-197.0,-95.0,2709.0,-1.0,-5.0,-7.0
1724512017665378130,-199.0,-94.0,2710.0,3.0,2.0,-4.0
1724512017670352495,-195.0,-92.0,2709.0,2.0,-13.0,-6.0
1724512017675357378,-191.0,-88.0,2702.0,6.0,-9.0,-3.0
1724512017680362261,-192.0,-92.0,2704.0,1.0,-13.0,1.0
1724512017685367144,-194.0,-92.0,2708.0,6.0,-9.0,-9.0
1724512017690372026,-198.0,-94.0,2698.0,8.0,-9.0,3.0
1724512017695376909,-194.0,-88.0,2692.0,3.0,-13.0,-9.0
1724512017700381792,-200.0,-89.0,2699.0,-3.0,-8.0,-9.0
1724512017705356157,-187.0,-94.0,2696.0,10.0,-1.0,8.0
1724512017710361040,-177.0,-91.0,2698.0,4.0,-3.0,-5.0
1724512017715365923,-200.0,-87.0,2707.0,5.0,-3.0,-3.0
1724512017720370806,-200.0,-92.0,2705.0,0.0,-8.0,-2.0
1724512017725375689,-186.0,-90.0,2708.0,2.0,-3.0,-3.0
1724512017730380571,-193.0,-86.0,2699.0,1.0,-14.0,-2.0
1724512017735354937,-186.0,-97.0,2703.0,9.0,-15.0,-1.0
1724512017740359819,-183.0,-96.0,2710.0,8.0,-4.0,-3.0
1724512017745364702,-187.0,-87.0,2708.0,2.0,-1.0,-3.0
1724512017750369585,-196.0,-89.0,2717.0,4.0,-3.0,-5.0
1724512017755374468,-192.0,-97.0,2714.0,5.0,-3.0,-3.0
1724512017760379351,-189.0,-85.0,2711.0,-1.0,-12.0,2.0
1724512017765353716,-196.0,-96.0,2716.0,1.0,-4.0,2.0
1724512017770358599,-198.0,-91.0,2699.0,4.0,-8.0,1.0
1724512017775363482,-192.0,-85.0,2692.0,1.0,-16.0,1.0
1724512017780368364,-192.0,-95.0,2696.0,7.0,-9.0,0.0
1724512017785373247,-188.0,-85.0,2696.0,11.0,-5.0,-6.0
1724512017790378130,-200.0,-94.0,2703.0,9.0,-12.0,3.0
1724512017795352495,-188.0,-87.0,2702.0,5.0,-2.0,-2.0
1724512017800357378,-183.0,-84.0,2702.0,6.0,-4.0,-9.0
1724512017805362261,-196.0,-81.0,2711.0,-1.0,-5.0,1.0
1724512017810367144,-181.0,-85.0,2703.0,12.0,-7.0,-8.0
1724512017815372026,-194.0,-86.0,2709.0,3.0,-15.0,0.0
1724512017820376909,-198.0,-95.0,2706.0,3.0,-13.0,1.0
1724512017825381792,-190.0,-86.0,2709.0,2.0,-10.0,0.0
1724512017830356157,-188.0,-92.0,2704.0,9.0,-3.0,-3.0
1724512017835361040,-191.0,-87.0,2701.0,0.0,-14.0,-7.0
1724512017840365923,-187.0,-85.0,2704.0,6.0,-11.0,5.0
1724512017845370806,-193.0,-88.0,2707.0,1.0,-11.0,-1.0
1724512017850375689,-195.0,-88.0,2708.0,0.0,2.0,-1.0
1724512017855380571,-198.0,-93.0,2705.0,0.0,-8.0,0.0
1724512017860354937,-191.0,-95.0,2704.0,5.0,-15.0,-4.0
1724512017865359819,-197.0,-88.0,2715.0,8.0,-5.0,-1.0
1724512017870364702,-187.0,-82.0,2720.0,2.0,-14.0,-11.0
1724512017875369585,-191.0,-94.0,2702.0,5.0,-14.0,-3.0
1724512017880374468,-191.0,-89.0,2700.0,2.0,-14.0,-1.0
1724512017885379351,-188.0,-80.0,2706.0,10.0,-9.0,-1.0
1724512017890353716,-192.0,-89.0,2706.0,8.0,-9.0,3.0
1724512017895358599,-186.0,-94.0,2702.0,6.0,-4.0,-6.0
1724512017900363482,-186.0,-86.0,2705.0,8.0,-8.0,-4.0
1724512017905368364,-186.0,-89.0,2704.0,3.0,-14.0,-6.0
1724512017910373247,-193.0,-85.0,2714.0,7.0,-4.0,2.0
1724512017915378130,-192.0,-85.0,2712.0,4.0,-10.0,-2.0
1724512017920352495,-190.0,-89.0,2713.0,8.0,-2.0,1.0
1724512017925357378,-185.0,-88.0,2710.0,6.0,-17.0,-7.0
1724512017930362261,-188.0,-97.0,2698.0,-3.0,-9.0,-6.0
1724512017935367144,-197.0,-93.0,2692.0,4.0,-12.0,0.0
1724512017940372026,-201.0,-82.0,2704.0,5.0,-5.0,0.0
1724512017945376909,-191.0,-100.0,2710.0,4.0,-13.0,-4.0
1724512017950381792,-188.0,-85.0,2701.0,0.0,-6.0,8.0
1724512017955356157,-196.0,-82.0,2694.0,-2.0,-6.0,-6.0
1724512017960361040,-184.0,-90.0,2712.0,-1.0,-14.0,-3.0
1724512017965365923,-182.0,-93.0,2707.0,9.0,-14.0,3.0
1724512017970370806,-186.0,-100.0,2705.0,3.0,-19.0,-4.0
1724512017975375689,-192.0,-89.0,2704.0,6.0,-4.0,-4.0
1724512017980380571,-195.0,-90.0,2702.0,-3.0,-6.0,-1.0
1724512017985354937,-197.0,-95.0,2705.0,7.0,1.0,1.0
1724512017990359819,-187.0,-90.0,2713.0,0.0,-9.0,-5.0
1724512017995364702,-188.0,-83.0,2701.0,2.0,-2.0,0.0
1724512018000369585,-194.0,-88.0,2708.0,10.0,-10.0,0.0
1724512018005374468,-189.0,-91.0,2703.0,7.0,-16.0,-3.0
1724512018010379351,-195.0,-88.0,2692.0,-4.0,-8.0,-1.0
1724512018015353716,-187.0,-88.0,2711.0,1.0,-8.0,-3.0
1724512018020358599,-194.0,-92.0,2715.0,5.0,-16.0,-5.0
1724512018025363482,-193.0,-91.0,2716.0,1.0,-3.0,-4.0
1724512018030368364,-191.0,-97.0,2720.0,7.0,-15.0,5.0
1724512018035373247,-202.0,-92.0,2711.0,1.0,-14.0,-1.0
1724512018040378130,-194.0,-87.0,2704.0,3.0,-6.0,-5.0
1724512018045352495,-190.0,-81.0,2703.0,3.0,-8.0,-6.0
1724512018050357378,-193.0,-82.0,2711.0,8.0,-3.0,-3.0
1724512018055362261,-189.0,-90.0,2701.0,3.0,0.0,0.0
1724512018060367144,-190.0,-99.0,2696.0,1.0,-8.0,-6.0
1724512018065372026,-189.0,-95.0,2700.0,4.0,-16.0,0.0
1724512018070376909,-197.0,-93.0,2708.0,2.0,-12.0,-6.0
1724512018075381792,-186.0,-91.0,2711.0,7.0,3.0,-1.0
1724512018080356157,-193.0,-94.0,2714.0,1.0,-10.0,-4.0
1724512018085361040,-185.0,-99.0,2705.0,-1.0,-8.0,5.0
1724512018090365923,-184.0,-92.0,2704.0,2.0,-4.0,-4.0
1724512018095370806,-197.0,-92.0,2707.0,7.0,-11.0,2.0
1724512018100375689,-197.0,-84.0,2701.0,4.0,-2.0,-2.0
1724512018105380571,-185.0,-91.0,2703.0,-2.0,-3.0,-1.0
1724512018110354937,-193.0,-93.0,2713.0,7.0,-10.0,-4.0
1724512018115359819,-192.0,-93.0,2712.0,6.0,-12.0,-2.0
1724512018120364702,-184.0,-91.0,2702.0,9.0,-11.0,2.0
1724512018125369585,-191.0,-91.0,2700.0,-2.0,-14.0,-5.0
1724512018130374468,-196.0,-94.0,2700.0,3.0,-5.0,-8.0
1724512018135379351,-197.0,-89.0,2709.0,3.0,-8.0,0.0
1724512018140353716,-191.0,-84.0,2703.0,-1.0,-3.0,-4.0
1724512018145358599,-194.0,-87.0,2700.0,7.0,-5.0,-5.0
1724512018150363482,-193.0,-95.0,2715.0,2.0,-4.0,-4.0
1724512018155368364,-195.0,-86.0,2714.0,5.0,-9.0,1.0
